dataset,column,type,n_missing
movies,movie_id,character,0
movies,title,character,0
movies,content_type,character,0
movies,genre_primary,character,0
movies,genre_secondary,character,645
movies,release_year,numeric,0
movies,duration_minutes,numeric,0
movies,rating,character,0
movies,language,character,0
movies,country_of_origin,character,0
movies,imdb_rating,numeric,0
movies,production_budget,numeric,0
movies,box_office_revenue,numeric,0
movies,number_of_seasons,numeric,0
movies,number_of_episodes,numeric,0
movies,is_netflix_original,logical,0
movies,added_to_platform,Date,0
movies,content_warning,logical,0
movies,budget_missing,numeric,0
movies,revenue_missing,numeric,0
users,user_id,character,0
users,email,character,0
users,first_name,character,0
users,last_name,character,0
users,age,numeric,0
users,gender,character,0
users,country,character,0
users,state_province,character,0
users,city,character,0
users,subscription_plan,character,0
users,subscription_start_date,Date,0
users,is_active,logical,0
users,monthly_spend,numeric,0
users,primary_device,character,0
users,household_size,numeric,0
users,created_at,Date,0
watch,session_id,character,0
watch,user_id,character,0
watch,movie_id,character,0
watch,watch_date,Date,0
watch,device_type,character,0
watch,watch_duration_minutes,numeric,0
watch,progress_percentage,numeric,0
watch,action,character,0
watch,quality,character,5026
watch,location_country,character,0
watch,is_download,logical,0
watch,user_rating,numeric,80468
watch,duration_category,character,0
rec,recommendation_id,character,0
rec,user_id,character,0
rec,movie_id,character,0
rec,recommendation_date,Date,0
rec,recommendation_type,character,0
rec,recommendation_score,numeric,0
rec,was_clicked,logical,0
rec,position_in_list,numeric,0
rec,device_type,character,0
rec,time_of_day,character,0
rec,algorithm_version,character,2530
